seqid	organism	genetic_code	moltype	topology	strand
>NW_003315971.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187634.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187635.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187646.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187648.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187647.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187649.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187650.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187651.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187652.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113891.3	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187653.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187655.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187654.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187656.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187657.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187658.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187659.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187660.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187662.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187664.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187661.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871093.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187663.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187665.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187666.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571055.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_004504305.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187667.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187678.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187679.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167245.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187680.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187681.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571056.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187682.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187688.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167246.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571057.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187689.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167247.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571058.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187690.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167248.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571059.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187691.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167249.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571060.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187692.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571061.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187693.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187636.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187637.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187638.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187639.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187640.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187641.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187642.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187643.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187644.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187645.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187668.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187669.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187670.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187671.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187672.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187673.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187674.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187675.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187676.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187677.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187683.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187684.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187685.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187686.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187687.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113949.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_012920.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
